question,sql
Who did Nabil Kassel face in the Round of 32?,SELECT Round of 32 FROM table WHERE Athlete = Nabil Kassel
How did Hamza Kramou fare in the semifinals?,SELECT Semifinals FROM table WHERE Athlete = Hamza Kramou
In what year did the winner of the FIS championship in 1982 win the Winter Olympics?,SELECT Winter Olympics FROM table WHERE FIS Nordic World Ski Championships = 1982
What year did Thorleif Haug win the Winter Olympics?,SELECT Winter Olympics FROM table WHERE Winner = Thorleif Haug
What year did the man from Norway who won the Holmenkollen in 1958 win the FIS Nordic World Ski Championships?,SELECT FIS Nordic World Ski Championships FROM table WHERE Country = Norway AND Holmenkollen = 1958
What is the holmenkollen for the 1982 FIS Nordic World Ski Championships?,SELECT Holmenkollen FROM table WHERE FIS Nordic World Ski Championships = 1982
What years did Birger Ruud win the FIS Nordic World Ski Championships?,SELECT FIS Nordic World Ski Championships FROM table WHERE Winner = Birger Ruud
What year did Karl Schnabl win the Winter Olympics?,SELECT Winter Olympics FROM table WHERE Winner = Karl Schnabl
What is the FIS Nordic World Ski Championships when holmenkollen is 1976?,SELECT FIS Nordic World Ski Championships FROM table WHERE Holmenkollen = 1976
"What year is Winter Olympics when Holmenkollen is 1957, 1960?","SELECT Winter Olympics FROM table WHERE Holmenkollen = 1957, 1960"
What's the part 4 for the verb whose part 3 is borgen?,SELECT Part 4 FROM table WHERE Part 3 = borgen
What's the meaning of the verb whose part 1 is slapen?,SELECT Verb meaning FROM table WHERE Part 1 = slapen
In what class does the verb with part 4 gelopen belong to?,SELECT Class FROM table WHERE Part 4 = gelopen
What's part 1 of the verb whose part 4 is gevroren?,SELECT Part 1 FROM table WHERE Part 4 = gevroren
How many different meanings does the verb with part 4 gegeven have?,SELECT COUNT Verb meaning FROM table WHERE Part 4 = gegeven
What's the part 3 of the verb with part 4 gelopen?,SELECT Part 3 FROM table WHERE Part 4 = gelopen
How many different classes of verbs are there whose part 3 is lucon?,SELECT COUNT Class FROM table WHERE Part 3 = lucon
What's the class of the verb whose part 1 is lesan?,SELECT Class FROM table WHERE Part 1 = lesan
How many different part 3 verbs are there that mean to freeze?,SELECT COUNT Part 3 FROM table WHERE Verb meaning = to freeze
What's the part 3 of the verb whose class is 4?,SELECT Part 3 FROM table WHERE Class = 4
What's the part 3 of the verb in class 5?,SELECT Part 3 FROM table WHERE Class = 5
What is the class of the word who's second participle is laug?,SELECT Class FROM table WHERE Part 2 = laug
What is the meaning of the class 6 verbs?,SELECT Verb meaning FROM table WHERE Class = 6
What is the 3rd participle of the verb whose 2nd participle is band?,SELECT Part 3 FROM table WHERE Part 2 = band
What is the 1st participle of the verb whose 4th participle is haitans?,SELECT Part 1 FROM table WHERE Part 4 = haitans
"For part 2 *lauk, what is listed for part 4?",SELECT Part 4 FROM table WHERE Part 2 = *lauk
What is the verb meaning for *bundun?,SELECT Verb meaning FROM table WHERE Part 3 = *bundun
"For part 2 *raid, what is listed for part 3?",SELECT Part 3 FROM table WHERE Part 2 = *raid
What word is listed under part 2 for part 4 *ridanaz?,SELECT Part 2 FROM table WHERE Part 4 = *ridanaz
What is listed under part 1 for class 3b?,SELECT Part 1 FROM table WHERE Class = 3b
What class is the verb wich its part 4 is frosinn,SELECT Class FROM table WHERE Part 4 = frosinn
What class is the verb wich its part 3 is heldu,SELECT Class FROM table WHERE Part 3 = heldu
What is part 1 of the verb in class 7b,SELECT Part 1 FROM table WHERE Class = 7b
What is part 1 of the verb in class 4,SELECT Part 3 FROM table WHERE Class = 4
How many verbs mean to bear,SELECT COUNT Part 4 FROM table WHERE Verb meaning = to bear
"How many verbs mean to grow, to produce","SELECT COUNT Part 1 FROM table WHERE Verb meaning = to grow, to produce"
"Who wrote the episode ""The Dream Lover"", which was viewed by 3.96 million viewers?",SELECT Written by FROM table WHERE U.S. viewers (million) = 3.96
"What is the original air date of episode 8?  Answer: Dec. 21, 2006",SELECT COUNT Original airdate FROM table WHERE Episode # = 8
"Who wrote the episode ""The Cold Turkey"", which was viewed by 3.73 million viewers?",SELECT Written by FROM table WHERE U.S. viewers (million) = 3.73
"What is the production code of the episode ""The Night Moves"", which was directed by Patrick Norris?","SELECT Production Code FROM table WHERE Directed by = Patrick Norris AND Title = ""The Night Moves"""
Who wrote episode 11?,SELECT Written by FROM table WHERE Episode # = 11
"What was the original airdate of the episode ""The Cold Turkey"", which was viewed by 3.73 million viewers?",SELECT Original airdate FROM table WHERE U.S. viewers (million) = 3.73
Name the class for boten,SELECT Class FROM table WHERE Part 3 = boten
Name the part 3 for treffen,SELECT Part 3 FROM table WHERE Part 1 = treffen
Name the part one for to give,SELECT Part 1 FROM table WHERE Verb meaning = to give
Name the class for schliefen,SELECT Class FROM table WHERE Part 3 = schliefen
Name the verb meaning for half drosch,SELECT Verb meaning FROM table WHERE Part 2 = half drosch
"If the product code is 2t6267, who was the director?",SELECT Directed by FROM table WHERE Production Code = 2T6267
What is the air date when the U.S. viewers was 5.50 million?,SELECT Original airdate FROM table WHERE U.S. viewers (million) = 5.50
Who were the writers for production code 2t6268?,SELECT Written by FROM table WHERE Production Code = 2T6268
Name the number of builders for number 96,SELECT COUNT Builder FROM table WHERE Number = 96
Name the builder for date built is january 1910,SELECT Builder FROM table WHERE Date built = January 1910
Name the disposition for date built is march 1909,SELECT Disposition FROM table WHERE Date built = March 1909
What is the title of episode number 96 in the series?,SELECT Title FROM table WHERE No. in series = 96
What number in season is the episode directed by Gene Stupnitsky?,SELECT No. in season FROM table WHERE Directed by = Gene Stupnitsky
How many viewers did the episode written by Warren Lieberstein & Halsted Sullivan have?,SELECT U.S. viewers (millions) FROM table WHERE Written by = Warren Lieberstein & Halsted Sullivan
How many writers are listed for the episode with a production code of 5008?,SELECT COUNT Written by FROM table WHERE Production code = 5008
What number in the series are the episodes with production code 5016/5017?,SELECT No. in series FROM table WHERE Production code = 5016/5017
How many locations have the call signs dxjp-fm? ,SELECT COUNT Location FROM table WHERE Callsign = DXJP-FM
What is the call sign of the station with the frequency of 90.3mhz,SELECT Callsign FROM table WHERE Frequency = 90.3MHz
"What is the call sign for the station that uses the branding, mom's radio 101.5 tacloban?",SELECT Callsign FROM table WHERE Branding = Mom's Radio 101.5 Tacloban
What is the branding for stations located in Cebu? ,SELECT Branding FROM table WHERE Location = Cebu
Which eagle riders whose ova (harmony gold dub) is dr. kozaburo nambu?,SELECT Eagle Riders FROM table WHERE OVA (Harmony Gold Dub) = Dr. Kozaburo Nambu
Which battle of the planets where ova (harmony gold dub) is solaris?,SELECT Battle of the Planets FROM table WHERE OVA (Harmony Gold Dub) = Solaris
Which eagle riders have battle of the planets as zoltar?,SELECT Eagle Riders FROM table WHERE Battle of the Planets = Zoltar
 Which gatchaman has eagle riders as lukan?,SELECT Gatchaman FROM table WHERE Eagle Riders = Lukan
What eagle riders where ova (harmony gold dub) is lord zortek?,SELECT Eagle Riders FROM table WHERE OVA (Harmony Gold Dub) = Lord Zortek
What pregame host was on espn and had taylor twellman color commentating?,SELECT Pregame host FROM table WHERE Network = ESPN AND Color commentator = Taylor Twellman
What pregame analyst(s) had rob stone and monica gonzalez as sideline reporters and were on tsn2?,SELECT Pregame analysts FROM table WHERE Sideline reporters = Rob Stone and Monica Gonzalez AND Network = TSN2
What color commentator(s) were in 2010?,SELECT Color commentator FROM table WHERE Year = 2010
What is the last year that had sideline reporters rob stone and monica gonzalez?,SELECT MAX Year FROM table WHERE Sideline reporters = Rob Stone and Monica Gonzalez
Who had the play-by-play on espn with sideline reporter monica gonzalez?,SELECT Play-by-play FROM table WHERE Network = ESPN AND Sideline reporters = Monica Gonzalez
What was the name of race #28?,SELECT Name FROM table WHERE Number = 28
The Eyserweg race was which race #?,SELECT MAX Number FROM table WHERE Name = Eyserweg
Which race had an average climb of 40%?,SELECT Location FROM table WHERE Average climb (%) = 40
The Keutenberg race had what race length?,SELECT MAX Length (in m) FROM table WHERE Name = Keutenberg
"In the Champions league, what is the Minimum",SELECT MIN Champions League FROM table
In the Champions league is the forward position smaller than 6.0,SELECT COUNT Champions League FROM table WHERE Position = Forward AND League < 6.0
when the total is 8 and copa del rey is 0 what is the minimum league,SELECT MIN League FROM table WHERE Total = 8 AND Copa del Rey = 0
when the position is forward and the league is 5 what number is the Champion league,SELECT COUNT Champions League FROM table WHERE League = 5 AND Position = Forward
if p is bigger than 4.0 what is total number,SELECT COUNT Total FROM table WHERE P > 4.0
What was the 2008 election status when glenn nye was the running democrat?,SELECT 2008 Status FROM table WHERE Democratic = Glenn Nye
Who was the republican candidate in the race with incumbent thelma drake?,SELECT Republican FROM table WHERE Incumbent = Thelma Drake
How many districts had republican Bob Goodlatte as a candidate?,SELECT COUNT District FROM table WHERE Republican = Bob Goodlatte
Who was the democratic candidate when the republican was  frank wolf?,SELECT Democratic FROM table WHERE Republican = Frank Wolf
How many won when points against is 410?,SELECT COUNT Won FROM table WHERE Points against = 410
How many bonus points are there when points for is 385?,SELECT Bonus Points FROM table WHERE Points for = 385
How many clubs have 62 points?,SELECT COUNT Club FROM table WHERE Points = 62
How many bonus points were won by 5?,SELECT Bonus Points FROM table WHERE Won = 5
How many have been played for 362 points?,SELECT Played FROM table WHERE Points for = 362
How many points against have a lose of 13?,SELECT Points against FROM table WHERE Lost = 13
What is the highest possible level?,SELECT MAX Level FROM table
What is the shuttle time for the level where the speed is 15.5 km/h?,SELECT Shuttle Time (seconds) FROM table WHERE Speed (km/h) = 15.5
What is the fewest number of shuttles where the shuttle time is 6.55 seconds?,SELECT MIN Shuttles FROM table WHERE Shuttle Time (seconds) = 6.55
What is the distance (in meters) when the shuttle time is 6.86 seconds?,SELECT MIN Distance (m) FROM table WHERE Shuttle Time (seconds) = 6.86
Name the number of lead margin for republican joe kenney being 31%,SELECT COUNT Lead Margin FROM table WHERE Republican: Joe Kenney = 31%
Namethe democrat john lynch for joe kenney being 27%,SELECT Democrat: John Lynch FROM table WHERE Republican: Joe Kenney = 27%
Name the poll source for republican joe kenney being 28%,SELECT Poll Source FROM table WHERE Republican: Joe Kenney = 28%
Name the lead margin for democrat john lynch being 62%,SELECT Lead Margin FROM table WHERE Democrat: John Lynch = 62%
Name the most lead margin for republican joe kenney being 23%,SELECT MAX Lead Margin FROM table WHERE Republican: Joe Kenney = 23%
How many 3rd ru does Costa Rica have? ,SELECT MAX 3rd RU FROM table WHERE Country = Costa Rica
How many 3rd ru does Canada have? ,SELECT COUNT 3rd RU FROM table WHERE Country = Canada
What is the least number of miss united continents? ,SELECT MIN Miss United Continent FROM table
Who's the poll source that claimed the Lead Margin was 17 and the Democrat: Jay Nixon had 54% of the votes?,SELECT Poll Source FROM table WHERE Democrat: Jay Nixon = 54% AND Lead Margin = 17
What poll source claimed that Republican: Kenny Hulshof had 43%?,SELECT Poll Source FROM table WHERE Republican: Kenny Hulshof = 43%
"How many different lead margins were stated in the poll administered on September 11, 2008?","SELECT COUNT Lead Margin FROM table WHERE Dates administered = September 11, 2008"
What percentage was claimed that Republican: Kenny Hulshof got in the poll that also claimed Democrat: Jay Nixon got 48%?,SELECT Republican: Kenny Hulshof FROM table WHERE Democrat: Jay Nixon = 48%
Name the common name for rhampholeon spectrum ,SELECT Common name FROM table WHERE Scientific name = Rhampholeon spectrum
Name the scientific name for veiled chameleon,SELECT Scientific name FROM table WHERE Common name = Veiled chameleon
Name the common name for furcifer pardalis,SELECT Common name FROM table WHERE Scientific name = Furcifer pardalis
Name the number of color for furcifer pardalis,SELECT COUNT Color FROM table WHERE Scientific name = Furcifer pardalis
Name the number of international frieghts for domestic mail of 260,SELECT COUNT International freight FROM table WHERE Domestic mail = 260
Name the total number of domestic mail for 7853 for total frieght and mail,SELECT COUNT Domestic mail FROM table WHERE Total freight and mail = 7853
Namw the total number for domestic freight for international mail is larger than 1.0 with domestic mail for 260,SELECT COUNT Domestic freight FROM table WHERE International mail > 1.0 AND Domestic mail = 260
What was the highest vote for others?,SELECT MAX Others# FROM table
"When the result was +2.5, what were the kerry%?",SELECT Kerry% FROM table WHERE 2000 result = +2.5
"When Kerry# was 199060, what was the percentage?",SELECT Kerry% FROM table WHERE Kerry# = 199060
What was the highest vote number for Bush?,SELECT MAX Bush# FROM table
"When the 200 result was +1.6, what was the percentage?",SELECT Kerry% FROM table WHERE 2000 result = +1.6
How many transfer windows coming from Crystal Palace?,SELECT COUNT Transfer window FROM table WHERE Moving from = Crystal Palace
What country has a P of GK?,SELECT Country FROM table WHERE P = GK
What is the P for the player moving from Everton?,SELECT P FROM table WHERE Moving from = Everton
Name the competition of panathinaikos,SELECT Competition FROM table WHERE Opposition = Panathinaikos
What is every value for viewers for ranking #51 for the Tuesday 9:00 p.m. timeslot?,SELECT Viewers (in millions) FROM table WHERE Ranking = #51 AND Timeslot = Tuesday 9:00 p.m.
What finales took place in the Tuesday 9:30 p.m. timeslot?,SELECT Finale FROM table WHERE Timeslot = Tuesday 9:30 p.m.
"What premieres had a finale on May 25, 2004?","SELECT Premiere FROM table WHERE Finale = May 25, 2004"
"What seasons had a finale on May 25, 2004?","SELECT Season FROM table WHERE Finale = May 25, 2004"
What seasons had a ranking of #47?,SELECT Season FROM table WHERE Ranking = #47
What are all values for viewers for 1st season?,SELECT Viewers (in millions) FROM table WHERE Season = 1st
What is the withdraw date for secr no. 771?,SELECT Date Withdrawn FROM table WHERE SECR No. = 771
Who is the builder for br no. 31779?,SELECT Builder FROM table WHERE BR No. = 31779
what ist he country where the loan club is fulham?,SELECT Country FROM table WHERE Loan Club = Fulham
what ist he total number of ages where the start date is 6 november?,SELECT COUNT Age FROM table WHERE Started = 6 November
What was the name of eipsode 618?,SELECT Title FROM table WHERE Production code = 618
"When did ""secrets"" air?","SELECT Original air date FROM table WHERE Title = ""Secrets"""
"How many seasons did ""strangled, not stirred"" air?","SELECT COUNT No. in season FROM table WHERE Title = ""Strangled, Not Stirred"""
How many episodes did Alison Maclean direct?,SELECT COUNT Written by FROM table WHERE Directed by = Alison Maclean
Name the high points for may 29,SELECT High points FROM table WHERE Date = May 29
Name the date for series 2-2,SELECT Date FROM table WHERE Series = 2-2
Name the high assists for may 21,SELECT High assists FROM table WHERE Date = May 21
"How many different play-by-play announcers also had pregame analysis by Darren Flutie, Eric Tillman and Greg Frers?","SELECT COUNT Play-by-play FROM table WHERE Pregame analysts = Darren Flutie, Eric Tillman and Greg Frers"
Who did the play-by-play when the pregame host was Brian Williams and the sideline reporters were Steve Armitage and Brenda Irving?,SELECT Play-by-play FROM table WHERE Pregame host = Brian Williams AND Sideline reporters = Steve Armitage and Brenda Irving
Who were the pregame hosts when the sideline reporters were Steve Armitage and Brenda Irving?,SELECT Pregame host FROM table WHERE Sideline reporters = Steve Armitage and Brenda Irving
Who did pregame analysis in 2002?,SELECT Pregame analysts FROM table WHERE Year = 2002
Name the state for lake county,SELECT State FROM table WHERE County = Lake County
Name the total number of county seat or courthouse for april 1 2010 denisty is 2205,"SELECT COUNT County seat or courthouse FROM table WHERE April 1, 2010 density (/mi²) = 2205"
Name the total number of states for july 1 2010 density is 1209,"SELECT COUNT State FROM table WHERE July 1, 2010 density (/mi²) = 1209"
What is the lowest season?,SELECT MIN Season FROM table
How many values for number of clubs have Shandong as the runner-up?,SELECT COUNT Number of clubs FROM table WHERE Runners-up = Shandong
How many total wins with Shanghai as runner-up?,SELECT COUNT Total wins FROM table WHERE Runners-up = Shanghai
Name the club for when tries for is 32,SELECT Club FROM table WHERE Tries for = 32
Name the number of lost where tries for is 109,SELECT COUNT Lost FROM table WHERE Tries for = 109
Name the won when tries against is 72,SELECT Won FROM table WHERE Tries against = 72
Name the points aginst when drawn is 1 and points is 51,SELECT Points against FROM table WHERE Drawn = 1 AND Points = 51
Name the original air date for number in season being 1,SELECT Original air date FROM table WHERE No. in season = 1
How many were won when 5 were lost? ,SELECT Won FROM table WHERE Lost = 5
How many were drawn when 13 were lost? ,SELECT Drawn FROM table WHERE Lost = 13
How many points are there for 63 tries against? ,SELECT Points for FROM table WHERE Tries against = 63
What is the try bonus when the tries against are 17? ,SELECT Try bonus FROM table WHERE Tries against = 17
How many tries for are there when 11 were won? ,SELECT Tries for FROM table WHERE Won = 11
How many points categories are there when the losing bonus is 2 and points for are 642?,SELECT COUNT Points FROM table WHERE Losing bonus = 2 AND Points for = 642
How many people wrote the episode that had 6.34 million viewers?,SELECT COUNT Written by FROM table WHERE Viewership = 6.34 million
What was the title of the episode with 5.04 million viewers?,SELECT Original title FROM table WHERE Viewership = 5.04 million
What was the first airdate with a viewership of 4.77 million?,SELECT Original airdate FROM table WHERE Viewership = 4.77 million
How many episodes  of 30 minutes were written by John Sullivan?,SELECT COUNT Duration FROM table WHERE Written by = John Sullivan
Who was the director when the writer was John Sullivan?,SELECT Directed by FROM table WHERE Written by = John Sullivan
"What is the total length when the title is "" one man's junk ""","SELECT COUNT Duration FROM table WHERE Original title = "" One Man's Junk """
What are the movies that are written and dircted by  john sullivan  with the airdate of 15january2009.,SELECT Directed by FROM table WHERE Written by = John Sullivan AND Original airdate = 15January2009
"What is the total viewership where the title is "" your cheating art "".","SELECT Viewership FROM table WHERE Original title = "" Your Cheating Art """
How many episodes aired on 22january2009,SELECT COUNT Episode FROM table WHERE Original airdate = 22January2009
Name the least transfers out when transfers is 21,SELECT MIN Transfers Out FROM table WHERE Total Transfers = 21
Name the least total transfers for romania,SELECT MIN Total Transfers FROM table WHERE Country = Romania
Name the least internal transfers,SELECT MIN Internal Transfers FROM table
How many status are there for Moncton?,SELECT COUNT Status FROM table WHERE Official Name = Moncton
What is the census ranking of the location with population of 959?,SELECT Census Ranking FROM table WHERE Population = 959
What is the name of the place with 582.20 square km area?,SELECT Official Name FROM table WHERE Area km 2 = 582.20
What is the name of the place where area is 578.28 square km?,SELECT Official Name FROM table WHERE Area km 2 = 578.28
"If the points is 20, what was the team name?",SELECT Team FROM table WHERE Points = 20
What is the time/retired if the driver is Marco Andretti?,SELECT Time/Retired FROM table WHERE Driver = Marco Andretti
"If the laps is 191, what is the maximum laps led?",SELECT MAX Laps Led FROM table WHERE Laps = 191
What is the time/retired if the driver is Ed Carpenter?,SELECT Time/Retired FROM table WHERE Driver = Ed Carpenter
"If the time/retired is +1 lap, what is the amount of maximum laps?",SELECT MAX Laps FROM table WHERE Time/Retired = +1 lap
"If the driver is Milka Duno, what is the name of the team?",SELECT Team FROM table WHERE Driver = Milka Duno
How many stages were won by Robbie McEwen?,SELECT COUNT Stage FROM table WHERE Winner = Robbie McEwen
How many car numbers were listed for Rusty Wallace?,SELECT COUNT Car # FROM table WHERE Winning Driver = Rusty Wallace
In what season did Rusty Wallace win?,SELECT MAX Season FROM table WHERE Winning Driver = Rusty Wallace
What was the represented team on June 27?,SELECT Team FROM table WHERE Date = June 27
Who was the winning driver for Hendrick Motorsports in a Chevrolet Impala SS?,SELECT Winning Driver FROM table WHERE Team = Hendrick Motorsports AND Make = Chevrolet Impala SS
When 45 is the goals for and  10 is the drawn what is the lost?,SELECT Lost FROM table WHERE Drawn = 10 AND Goals For = 45
When +10 is the goal difference what is the goals for?,SELECT Goals For FROM table WHERE Goal Difference = +10
When ellesmere port & neston is the team what are the points 1?,SELECT Points 1 FROM table WHERE Team = Ellesmere Port & Neston
When 2005 is the season how many drivers are there?,SELECT COUNT Driver FROM table WHERE Season = 2005
When tony kanaan is the driver what is the average speed miles per hour?,SELECT Average Speed (mph) FROM table WHERE Driver = Tony Kanaan
When 169.182 is the average speed miles per hour what is the chassis?,SELECT Chassis FROM table WHERE Average Speed (mph) = 169.182
When 1:34:01 is the race time what is the miles in kilometers?,SELECT Miles (km) FROM table WHERE Race Time = 1:34:01
When 228 is the lap and chip ganassi racing is the team what is the race time?,SELECT Race Time FROM table WHERE Team = Chip Ganassi Racing AND Laps = 228
What tie number featured Chelsea as the home team?,SELECT MIN Tie no FROM table WHERE Home team = Chelsea
In what tie were Leeds United the away team?,SELECT MAX Tie no FROM table WHERE Away team = Leeds United
Who was the home team when Burnley were the away team?,SELECT Home team FROM table WHERE Away team = Burnley
what is the lowest year represented?,SELECT MIN Year FROM table
What was the score when Françoise Dürr was partner?,SELECT Score FROM table WHERE Partner = Françoise Dürr
What was the outcome in 1975?,SELECT Outcome FROM table WHERE Year = 1975
"On what surface was the game played with a score of  6–4, 6–4?","SELECT Surface FROM table WHERE Score = 6–4, 6–4"
What is the year of appearance for the Prince Albert Raiders? ,SELECT Years of appearance FROM table WHERE Team = Prince Albert Raiders
How many wins do the Erie Otters have? ,SELECT Wins FROM table WHERE Team = Erie Otters
What is the final win percentage of the Sault Ste. Marie Greyhounds? ,SELECT Final Win % FROM table WHERE Team = Sault Ste. Marie Greyhounds
What is the total number of semi-final losses for the Kitchener Rangers? ,SELECT MAX Semi-Final Losses FROM table WHERE Team = Kitchener Rangers
How many wins do the Red Deer Rebels have? ,SELECT MAX Wins FROM table WHERE Team = Red Deer Rebels
"What is the record for November 26, 1961?","SELECT Record FROM table WHERE Date = November 26, 1961"
What was the game site against the Dallas Texans?,SELECT Game site FROM table WHERE Opponent = Dallas Texans
In how many years was Tom Fleming the final television commentator? ,SELECT COUNT Year(s) FROM table WHERE Final television commentator = Tom Fleming
What was the latest year that Colin Berry was the spokesperson? ,SELECT MAX Year(s) FROM table WHERE Spokesperson = Colin Berry
Who was the semi-final television commentator when the spokesperson was Colin Berry and the final television commentator was Pete Murray?,SELECT Semi-final television commentator FROM table WHERE Spokesperson = Colin Berry AND Final television commentator = Pete Murray
